"Points:0","Points:1","Points:2"
43.154,5.2933,278.23
40.166,9.0694,280.29
43.101,8.9066,278.31
41.182,5.3285,275.42
38.313,9.0554,277.39
41.1,8.865,275.51
39.403,5.3267,272.86
36.645,9.0069,274.76
39.301,8.7864,272.96
76.262,-23.873,226.69
76.717,-19.233,226.94
76.99,-18.935,223.17
76.544,-23.606,222.9
72.534,-23.312,226.26
72.99,-18.809,226.52
73.279,-18.528,222.91
72.831,-23.069,222.64
69.136,-22.863,225.86
69.588,-18.486,226.12
69.871,-18.222,222.66
69.427,-22.641,222.39
66.034,-22.522,225.5
66.479,-18.263,225.77
66.744,-18.014,222.45
66.301,-22.318,222.18
53.528,-66.64,242.96
54.504,-67.554,239.34
51.283,-70.455,239.2
50.324,-69.423,242.79
51.016,-64.098,241.57
51.942,-64.987,238.11
48.921,-67.757,237.96
48.028,-66.772,241.41
48.758,-61.826,240.24
49.631,-62.689,236.93
46.774,-65.326,236.77
45.934,-64.374,240.09
46.731,-59.779,238.98
47.553,-60.62,235.81
44.829,-63.124,235.63
44.034,-62.189,238.82
70.934,0.12701,177.05
71.003,4.8277,177.41
70.165,5.7577,173.98
70.059,1.1104,173.62
67.531,0.23182,177.96
67.597,4.8726,178.28
66.772,5.8195,174.93
66.675,1.2259,174.61
64.266,0.27702,178.86
64.324,4.864,179.14
63.516,5.8301,175.88
63.431,1.2848,175.6
61.123,0.25585,179.74
61.166,4.7925,179.98
60.379,5.7812,176.82
60.314,1.2801,176.57
29.569,102.88,179.4
28.845,102.16,183.26
23.968,103.55,183.19
24.851,104.28,179.37
28.081,99.342,178.89
27.492,98.743,182.7
22.872,100.31,182.6
23.615,100.92,178.81
26.69,96.181,178.42
26.201,95.667,182.21
21.734,97.361,182.06
22.384,97.864,178.29
25.299,93.083,177.93
24.963,92.803,181.72
20.617,94.692,181.54
21.154,94.92,177.76
8.5122,-75.981,152.84
8.3619,-73.097,150.28
4.2489,-73.814,150.59
4.2937,-76.748,153.15
8.1933,-73.349,154.99
8.0827,-70.663,151.95
4.0872,-71.282,152.36
4.1208,-74.105,155.37
7.8975,-71.036,157.42
7.8032,-68.291,154.03
3.9321,-68.804,154.45
3.9566,-71.715,157.81
7.5919,-68.518,160.19
7.4115,-64.667,156.57
3.7211,-65.267,156.94
3.7984,-69.154,160.48
22.191,113.47,127.28
21.629,113.17,123.24
25.239,110.61,123.6
25.699,110.63,127.62
20.285,108.99,128.25
19.939,108.98,124.3
23.411,106.77,124.59
23.735,106.64,128.54
18.742,104.94,129.24
18.515,105.16,125.37
21.829,103.24,125.61
22.079,103,129.47
17.403,101.35,130.03
17.236,101.77,126.26
20.384,100.14,126.45
20.594,99.772,130.24
32.755,-68.345,153.07
32.182,-65.975,150.59
28.457,-67.813,150.49
28.974,-70.255,152.92
31.349,-65.924,155.03
30.843,-63.663,152.07
27.293,-65.446,151.93
27.734,-67.737,154.9
30.09,-63.843,157.34
29.547,-61.51,154.02
26.163,-63.207,153.88
26.635,-65.574,157.21
28.747,-61.668,160.02
27.691,-58.416,156.45
24.562,-60.009,156.29
25.466,-63.302,159.89
56.823,65.285,241.31
54.463,69.783,242.44
55.057,71.234,238.85
57.404,66.638,237.75
53.6,63.649,240.17
51.248,67.895,241.17
51.809,69.325,237.67
54.147,64.985,236.7
50.71,62.227,239.08
48.454,66.299,239.99
48.986,67.714,236.59
51.227,63.552,235.7
48.102,61.037,238.04
46.003,64.996,238.91
46.511,66.402,235.59
48.592,62.354,234.75
7.4165,15.89,295.38
7.3574,11.705,295.11
3.7054,11.86,295.44
3.7391,16.133,295.71
7.0611,15.892,291.61
7.0211,11.803,291.43
3.535,11.969,291.77
3.5592,16.145,291.96
6.729,15.892,288.18
6.7001,11.894,288.03
3.3715,12.061,288.34
3.3893,16.144,288.5
6.4201,15.909,285.06
6.3989,11.993,284.91
3.2175,12.156,285.15
3.2306,16.154,285.31
74.42,-13.998,193.75
74.661,-9.229,194.13
73.967,-8.3591,190.59
73.737,-13.11,190.21
70.909,-13.733,194.38
71.149,-9.0521,194.74
70.476,-8.1902,191.27
70.238,-12.855,190.91
67.572,-13.546,195.01
67.81,-8.9508,195.35
67.151,-8.0933,191.94
66.913,-12.675,191.6
64.399,-13.442,195.65
64.627,-8.9295,195.97
63.98,-8.0736,192.62
63.743,-12.574,192.3
74.836,14.506,199.2
75.38,13.775,202.75
74.901,18.828,203.02
74.551,19.563,199.46
71.285,14.291,199.59
71.766,13.53,203.06
71.296,18.495,203.27
70.92,19.263,199.79
67.914,14.027,199.97
68.381,13.239,203.36
67.919,18.128,203.5
67.529,18.929,200.11
64.71,13.718,200.36
65.193,12.9,203.66
64.746,17.725,203.73
64.338,18.566,200.43
30.203,105.08,147.98
29.918,105.63,143.98
33.621,103.1,144.06
34.009,102.71,148.03
28.585,101.72,148.82
28.239,102.26,144.8
31.762,99.879,144.96
32.194,99.445,148.96
27.154,98.514,149.84
26.724,99.043,145.75
30.092,96.846,146
30.612,96.379,150.07
25.867,95.526,150.81
25.329,96.079,146.61
28.564,94.067,146.93
29.21,93.55,151.14
71.392,22.175,239.37
72.224,22.835,235.86
73.192,18.017,235.66
72.332,17.429,239.19
67.821,21.511,238.42
68.591,22.151,235.04
69.566,17.45,234.85
68.769,16.877,238.25
64.589,20.856,237.49
65.32,21.48,234.23
66.281,16.874,234.06
65.525,16.313,237.33
61.668,20.198,236.58
62.373,20.806,233.44
63.311,16.279,233.29
62.579,15.73,236.43
41.313,-58.226,267.01
42.483,-59.884,264.7
39.864,-61.812,264.73
38.846,-59.978,267.12
39.345,-56.182,264.21
40.481,-57.724,262.09
38.032,-59.557,262.18
37.057,-57.859,264.41
37.579,-54.386,261.67
38.672,-55.815,259.68
36.357,-57.547,259.81
35.413,-55.967,261.89
35.988,-52.822,259.33
37.055,-54.143,257.47
34.838,-55.76,257.62
33.912,-54.299,259.57
41.475,-12.889,282.34
38.189,-12.733,284.09
38.419,-9.1157,284.43
41.705,-9.2741,282.63
39.574,-12.395,279.07
36.461,-12.23,280.76
36.676,-8.6988,281.12
39.794,-8.8708,279.4
37.857,-11.931,276.11
34.891,-11.755,277.73
35.09,-8.3092,278.1
38.063,-8.4968,276.45
36.309,-11.496,273.43
33.466,-11.306,274.98
33.646,-7.9473,275.35
36.496,-8.1523,273.77
58.411,-65.117,235.79
61.253,-61.729,236
62.031,-62.205,232.2
59.199,-65.681,232
55.621,-62.709,234.74
58.254,-59.482,234.94
59.024,-59.979,231.32
56.382,-63.285,231.12
53.108,-60.559,233.72
55.587,-57.505,233.93
56.32,-58.004,230.47
53.828,-61.134,230.25
50.851,-58.634,232.76
53.216,-55.767,232.99
53.896,-56.253,229.67
51.519,-59.202,229.43
57.805,-65.065,181
57.289,-63.809,177.35
54.391,-67.464,176.97
54.893,-68.757,180.63
54.885,-62.888,182.07
54.395,-61.691,178.55
51.648,-65.125,178.21
52.113,-66.347,181.73
52.215,-60.943,183.06
51.741,-59.795,179.67
49.144,-63.036,179.35
49.589,-64.203,182.75
49.759,-59.209,183.98
49.296,-58.105,180.71
46.843,-61.174,180.42
47.277,-62.299,183.68
20.025,54.715,286.03
16.186,55.729,286.74
16.54,59.512,284.93
20.47,58.426,284.27
18.95,53.18,282.52
15.31,54.134,283.15
15.643,57.722,281.42
19.361,56.698,280.82
17.98,51.88,279.46
14.523,52.788,280.06
14.842,56.22,278.4
18.372,55.248,277.84
17.104,50.803,276.8
13.814,51.67,277.39
14.13,54.977,275.8
17.489,54.053,275.25
10.374,91.684,255.26
5.2503,94.2,251.06
10.514,93.693,251.35
9.8913,88.281,253.27
5.0275,90.84,249.3
10.039,90.251,249.52
9.4793,85.357,251.52
4.8353,87.831,247.7
9.6343,87.269,247.9
9.1443,82.851,250.01
4.6763,85.147,246.26
9.3062,84.692,246.49
56.342,46.903,113.66
55.44,43.252,112.38
55.994,41.092,115.4
56.957,45.1,116.42
52.677,46.849,115.34
52.07,43.989,114.28
52.609,42.072,117.16
53.254,45.226,118.01
49.167,46.073,116.71
48.528,43.483,115.52
49.054,41.768,118.44
49.721,44.578,119.37
45.944,45.525,117.83
45.612,43.128,116.52
46.269,41.534,119.36
46.527,44.112,120.46
48.204,-5.9565,278.73
48.311,-2.2769,278.87
51.285,-2.3835,276.53
51.201,-6.0965,276.42
45.944,-5.6721,275.71
46.03,-2.0736,275.88
48.845,-2.2077,273.65
48.78,-5.8358,273.51
43.901,-5.4251,272.96
43.965,-1.9102,273.15
46.641,-2.0736,271.03
46.598,-5.6144,270.86
42.062,-5.2156,270.45
42.102,-1.7861,270.65
44.656,-1.9811,268.62
44.64,-5.433,268.45
62.244,-26.368,261.59
62.952,-22.5,261.92
65.109,-22.863,258.81
64.389,-26.82,258.52
59.253,-25.598,259.33
59.909,-21.848,259.65
61.946,-22.214,256.72
61.273,-26.046,256.42
56.573,-24.908,257.25
57.194,-21.273,257.58
59.121,-21.647,254.8
58.483,-25.361,254.49
54.175,-24.283,255.34
54.772,-20.761,255.7
56.602,-21.151,253.05
55.987,-24.749,252.72
32.501,-80.564,242.65
33.169,-81.987,239.03
29.259,-83.753,239.1
28.672,-82.285,242.74
31.084,-77.466,241.25
31.705,-78.797,237.75
27.959,-80.448,237.8
27.411,-79.08,241.32
29.758,-74.611,239.89
30.35,-75.882,236.52
26.765,-77.449,236.56
26.24,-76.145,239.96
28.508,-71.983,238.59
29.084,-73.217,235.33
25.654,-74.721,235.38
25.141,-73.458,238.65
62.467,21.998,155.58
64.898,22.962,158.36
65.221,27.818,158.4
63.497,27.603,155.14
59.574,24.213,155.73
61.623,23.756,159.2
62.046,28.319,159.27
60.408,28.69,155.89
55.893,24.688,156.1
58.356,23.834,160.22
58.923,28.111,160.3
57.239,28.62,156.66
52.381,25.664,156.79
55.282,24.136,161.51
55.923,27.951,161.51
54.415,28.715,157.62
50.588,38.255,271.96
52.193,39.31,269.57
53.525,35.88,269.18
51.772,34.999,271.68
47.839,37.419,269.57
49.356,38.433,267.33
50.619,35.082,266.95
48.97,34.243,269.3
45.345,36.648,267.31
46.781,37.627,265.2
48.003,34.339,264.84
46.44,33.534,267.06
43.085,35.942,265.18
44.459,36.9,263.18
45.648,33.648,262.84
44.162,32.867,264.95
40.87,89.346,102.47
39.952,87.219,99.09
41.814,83.653,99.882
42.887,85.813,103.1
38.035,86.813,104.78
37.311,85.12,101.7
39.191,81.736,102.44
39.995,83.454,105.43
35.695,84.619,106.82
35.187,83.273,103.81
37.024,80.036,104.53
37.581,81.414,107.47
33.566,82.859,108.47
33.342,81.87,105.45
35.125,78.76,106.18
35.376,79.794,109.14
8.5794,64.999,283.6
4.3061,65.637,283.66
4.407,69.307,281.31
8.7895,68.655,281.28
8.123,62.94,280.17
4.0854,63.606,280.3
4.1822,67.078,278.07
8.3222,66.394,277.96
7.71,61.182,277.19
3.8795,61.812,277.32
3.9746,65.118,275.19
7.9038,64.473,275.08
7.3428,59.696,274.62
3.6906,60.246,274.68
3.7863,63.41,272.65
7.5364,62.852,272.61
45.004,-65.697,159.17
44.268,-63.601,156.17
40.863,-66.322,155.91
41.536,-68.464,158.9
42.783,-63.295,161.3
42.094,-61.285,158.37
38.892,-63.855,158.15
39.52,-65.904,161.07
40.81,-61.216,163.34
40.2,-59.331,160.59
37.175,-61.771,160.4
37.731,-63.69,163.15
39.039,-59.404,165.33
38.484,-57.614,162.89
35.615,-59.935,162.75
36.123,-61.757,165.17
20.075,-30.703,286.63
16.763,-30.906,287.3
16.967,-27.274,288.38
20.328,-27.117,287.68
19.238,-29.706,283.15
16.069,-29.895,283.79
16.254,-26.337,284.81
19.467,-26.194,284.13
18.444,-28.759,279.94
15.408,-28.94,280.56
15.583,-25.455,281.55
18.659,-25.322,280.9
17.696,-27.845,277
14.783,-28.022,277.59
14.954,-24.613,278.58
17.907,-24.483,277.96
74.165,-29.792,199.74
74.831,-25.105,200.15
74.131,-24.301,196.54
73.417,-28.983,196.13
